year,month,country,region,total,tourist,business,others,short_excursion
1996,December,Indonesia,Asia,3796,1574,643,447,1132
1996,December,Ireland,Europe,590,340,179,71,0
1996,December,Israel,Asia,461,192,227,42,0
1996,December,Italy,Europe,1788,768,928,92,0
1996,December,Korea,Asia,78394,48171,24634,4489,1100
1996,December,Malaysia,Asia,7258,6080,1084,94,0
1996,December,Mexico,North America,534,385,104,45,0
1996,December,Netherland,Europe,1307,506,724,77,0
1996,December,New Zealand,Oceania,1869,1175,464,230,0
1996,December,North America Unclassified,North America,235,115,56,,
1996,December,Norway,Europe,456,245,191,20,0
1996,December,Oceania Unclassified,Oceania,139,59,43,26,11
1996,December,Philippines,Asia,5936,1270,700,3560,406
1996,December,Russia,Europe,2238,818,452,515,453
1996,December,Singapore,Asia,5449,3910,1237,290,12
1996,December,South America Unclassified,South America,978,699,136,112,31
1996,December,Spain,Europe,560,365,143,52,0
1996,December,Sweden,Europe,1485,783,593,109,0
1996,December,Swiss,Europe,1192,620,518,54,0
1996,December,Taiwan,Asia,40947,34488,5298,1161,0
1996,December,Thailand,Asia,4002,2095,1167,346,394
1996,December,U.S.A.,North America,42769,21578,16848,4333,10
1996,December,United Kingdom,Europe,9463,4717,3843,901,2
1996,February,Africa,Africa,748,126,328,278,16
1996,February,Asia Unclassified,Asia,2475,633,961,738,143
1996,February,Australia,Oceania,5194,1591,1548,668,1387
1996,February,Austria,Europe,767,360,298,109,0
1996,February,Belgium,Europe,496,149,318,29,0
1996,February,Brazil,South America,4013,3469,168,317,59
1996,February,Canada,North America,5892,3766,1557,569,0
1996,February,China,Asia,14876,1400,3056,8348,2072
1996,February,Denmark,Europe,598,199,356,43,0
1996,February,Europe Unclassified,Europe,1555,586,520,421,28
1996,February,Finland,Europe,531,233,272,26,0
1996,February,France,Europe,3668,1248,2109,311,0
1996,February,Germany,Europe,5559,2220,2856,483,0
1996,February,Hong Kong,Asia,18852,16050,1777,327,698
1996,February,India,Asia,1729,199,1111,330,89
1996,February,Indonesia,Asia,3729,1208,535,797,1189
1996,February,Ireland,Europe,521,223,234,64,0
1996,February,Israel,Asia,714,379,291,44,0
1996,February,Italy,Europe,1794,465,1249,80,0
1996,February,Korea,Asia,73878,41380,25475,5088,1935
1996,February,Malaysia,Asia,3974,2840,1030,103,1
1996,February,Mexico,North America,483,287,116,80,0
1996,February,Netherland,Europe,1440,452,905,83,0
1996,February,New Zealand,Oceania,1677,739,726,208,4
1996,February,North America Unclassified,North America,242,121,61,,
1996,February,Norway,Europe,491,162,303,26,0
1996,February,Oceania Unclassified,Oceania,113,36,31,42,4
1996,February,Philippines,Asia,4177,982,940,1897,358
1996,February,Russia,Europe,1572,403,557,429,183
1996,February,Singapore,Asia,4577,3150,1037,388,2
1996,February,South America Unclassified,South America,941,482,180,266,13
1996,February,Spain,Europe,884,267,500,117,0
1996,February,Sweden,Europe,1154,319,730,105,0
1996,February,Swiss,Europe,1202,458,683,61,0
1996,February,Taiwan,Asia,61453,55635,4053,1761,4
1996,February,Thailand,Asia,4076,1475,1575,592,434
1996,February,U.S.A.,North America,37176,15117,18847,3209,3
1996,February,United Kingdom,Europe,10216,4339,5181,696,0
1996,January,Africa,Africa,933,196,260,463,14
1996,January,Asia Unclassified,Asia,3410,811,1022,1364,213
1996,January,Australia,Oceania,6676,2164,1292,1834,1386
1996,January,Austria,Europe,593,161,233,197,2
1996,January,Belgium,Europe,581,186,291,104,0
1996,January,Brazil,South America,3984,3356,172,390,66
1996,January,Canada,North America,7879,3652,1545,2675,7
1996,January,China,Asia,21505,1538,5007,12589,2371
1996,January,Denmark,Europe,641,177,339,125,0
1996,January,Europe Unclassified,Europe,1783,406,497,787,93
1996,January,Finland,Europe,579,204,288,87,0
1996,January,France,Europe,4041,1023,1977,1041,0
1996,January,Germany,Europe,4943,1295,2691,956,1
1996,January,Hong Kong,Asia,7204,4212,2074,417,501
1996,January,India,Asia,2046,202,998,598,248
1996,January,Indonesia,Asia,2738,555,644,1051,488
1996,January,Ireland,Europe,842,239,243,360,0
1996,January,Israel,Asia,327,93,184,50,0
1996,January,Italy,Europe,1922,418,1166,338,0
1996,January,Korea,Asia,89392,51814,23453,10713,3412
1996,January,Malaysia,Asia,2186,804,1184,198,0
1996,January,Mexico,North America,509,206,150,153,0
1996,January,Netherland,Europe,1310,353,772,185,0
1996,January,New Zealand,Oceania,1940,821,539,579,1
1996,January,North America Unclassified,North America,292,118,76,,
1996,January,Norway,Europe,430,128,251,51,0
1996,January,Oceania Unclassified,Oceania,146,26,30,78,12
1996,January,Philippines,Asia,5044,871,896,2857,420
1996,January,Russia,Europe,1897,525,339,861,172
1996,January,Singapore,Asia,2578,719,1314,534,11
1996,January,South America Unclassified,South America,1185,658,142,362,23
1996,January,Spain,Europe,723,209,377,137,0
1996,January,Sweden,Europe,1221,324,728,169,0
1996,January,Swiss,Europe,1096,372,595,129,0
1996,January,Taiwan,Asia,33746,24891,5205,3639,11
1996,January,Thailand,Asia,3614,708,1281,1183,442
1996,January,U.S.A.,North America,44265,14482,19187,10596,0
1996,January,United Kingdom,Europe,11702,3579,5066,3049,8
1996,July,Africa,Africa,1278,515,420,324,19
1996,July,Asia Unclassified,Asia,4008,1506,1331,888,283
1996,July,Australia,Oceania,7686,2777,1775,823,2311
1996,July,Austria,Europe,740,411,226,103,0
1996,July,Belgium,Europe,888,529,309,50,0
1996,July,Brazil,South America,5477,4821,249,378,29
1996,July,Canada,North America,7656,5174,1321,1161,0
1996,July,China,Asia,18793,2956,5277,7281,3279
1996,July,Denmark,Europe,720,409,255,56,0
1996,July,Europe Unclassified,Europe,2153,1234,432,435,52
1996,July,Finland,Europe,642,401,190,51,0
1996,July,France,Europe,5143,2635,2020,488,0
1996,July,Germany,Europe,6159,2864,2848,447,0
1996,July,Hong Kong,Asia,22185,19132,2118,254,681
1996,July,India,Asia,2401,487,1368,381,165
1996,July,Indonesia,Asia,5016,1524,912,943,1637
1996,July,Ireland,Europe,645,288,208,149,0
1996,July,Israel,Asia,582,304,233,45,0
1996,July,Italy,Europe,2375,944,1239,192,0
1996,July,Korea,Asia,98646,62764,26773,4317,4792
1996,July,Malaysia,Asia,2851,1308,1445,97,1
1996,July,Mexico,North America,1031,737,171,123,0
1996,July,Netherland,Europe,1522,670,687,165,0
1996,July,New Zealand,Oceania,2325,1295,721,309,0
1996,July,North America Unclassified,North America,560,230,99,,
1996,July,Norway,Europe,463,235,203,25,0
1996,July,Oceania Unclassified,Oceania,354,209,81,45,19
1996,July,Philippines,Asia,5613,1597,1064,2241,711
1996,July,Russia,Europe,3199,1717,512,809,161
1996,July,Singapore,Asia,3609,1475,1819,312,3
1996,July,South America Unclassified,South America,1316,878,185,233,20
1996,July,Spain,Europe,991,489,437,65,0
1996,July,Sweden,Europe,1141,525,526,90,0
1996,July,Swiss,Europe,1441,753,624,64,0
1996,July,Taiwan,Asia,88230,81947,5100,1183,0
1996,July,Thailand,Asia,4800,1659,2097,570,474
1996,July,U.S.A.,North America,51786,27646,18298,5839,3
1996,July,United Kingdom,Europe,12407,5812,5018,1577,0
1996,June,Africa,Africa,996,247,416,318,15
1996,June,Asia Unclassified,Asia,3411,921,1402,875,213
1996,June,Australia,Oceania,8018,2701,1867,579,2871
1996,June,Austria,Europe,657,262,322,73,0
1996,June,Belgium,Europe,640,185,414,41,0
1996,June,Brazil,South America,4203,3682,252,196,73
1996,June,Canada,North America,6006,3617,1612,774,3
1996,June,China,Asia,18703,2289,6115,6485,3814
1996,June,Denmark,Europe,645,256,354,35,0
1996,June,Europe Unclassified,Europe,1663,712,526,375,50
1996,June,Finland,Europe,515,225,261,29,0
1996,June,France,Europe,4644,1567,2654,423,0
1996,June,Germany,Europe,5080,1680,3070,330,0
1996,June,Hong Kong,Asia,17407,14037,2329,271,770
1996,June,India,Asia,2460,601,1324,377,158
1996,June,Indonesia,Asia,5168,2133,872,671,1492
1996,June,Ireland,Europe,606,281,226,99,0
1996,June,Israel,Asia,552,217,310,25,0
1996,June,Italy,Europe,1957,638,1169,148,2
1996,June,Korea,Asia,73941,39452,28481,4749,1259
1996,June,Malaysia,Asia,5623,4087,1435,101,0
1996,June,Mexico,North America,840,550,209,81,0
1996,June,Netherland,Europe,1400,444,887,69,0
1996,June,New Zealand,Oceania,2086,1154,766,166,0
1996,June,North America Unclassified,North America,333,133,99,,
1996,June,Norway,Europe,435,156,257,22,0
1996,June,Oceania Unclassified,Oceania,287,104,75,81,27
1996,June,Philippines,Asia,5703,1661,1166,2176,700
1996,June,Russia,Europe,2353,1209,429,535,180
1996,June,Singapore,Asia,4391,2190,1874,320,7
1996,June,South America Unclassified,South America,1326,774,262,261,29
1996,June,Spain,Europe,1116,496,541,79,0
1996,June,Sweden,Europe,1234,460,708,66,0
1996,June,Swiss,Europe,1205,407,732,66,0
1996,June,Taiwan,Asia,63835,57163,5508,1164,0
1996,June,Thailand,Asia,4313,1378,2005,524,406
1996,June,U.S.A.,North America,52069,27618,20589,3855,7
1996,June,United Kingdom,Europe,10617,3910,5686,1021,0
1996,March,Africa,Africa,990,164,498,309,19
1996,March,Asia Unclassified,Asia,3184,770,1221,1039,154
1996,March,Australia,Oceania,8205,3065,1903,1045,2192
1996,March,Austria,Europe,855,385,387,83,0
1996,March,Belgium,Europe,725,219,447,59,0
1996,March,Brazil,South America,5082,4238,324,477,43
1996,March,Canada,North America,7567,4673,1852,1041,1
1996,March,China,Asia,21066,1945,4720,12003,2398
1996,March,Denmark,Europe,878,299,507,72,0
1996,March,Europe Unclassified,Europe,2076,868,669,495,44
1996,March,Finland,Europe,703,235,394,74,0
1996,March,France,Europe,4898,1688,2559,651,0
1996,March,Germany,Europe,7369,3165,3512,692,0
1996,March,Hong Kong,Asia,13013,9900,2232,477,404
1996,March,India,Asia,1815,311,1034,401,69
1996,March,Indonesia,Asia,2836,728,824,693,591
1996,March,Ireland,Europe,733,355,269,109,0
1996,March,Israel,Asia,572,265,262,45,0
1996,March,Italy,Europe,2178,788,1247,143,0
1996,March,Korea,Asia,74250,35576,28047,9436,1191
1996,March,Malaysia,Asia,3213,1554,1503,156,0
1996,March,Mexico,North America,818,488,222,108,0
1996,March,Netherland,Europe,2024,706,1175,143,0
1996,March,New Zealand,Oceania,2441,1203,885,353,0
1996,March,North America Unclassified,North America,353,166,100,,
1996,March,Norway,Europe,584,208,336,40,0
1996,March,Oceania Unclassified,Oceania,156,56,36,52,12
1996,March,Philippines,Asia,4988,1351,1053,2135,449
1996,March,Russia,Europe,2104,663,627,512,302
1996,March,Singapore,Asia,4743,1505,2005,1231,2
1996,March,South America Unclassified,South America,1178,590,294,268,26
1996,March,Spain,Europe,1176,455,619,102,0
1996,March,Sweden,Europe,1545,491,918,136,0
1996,March,Swiss,Europe,1480,615,773,92,0
1996,March,Taiwan,Asia,53728,44421,5474,3832,1
1996,March,Thailand,Asia,5454,2081,2092,896,385
1996,March,U.S.A.,North America,51507,24431,21848,5226,2
1996,March,United Kingdom,Europe,14017,6883,5927,1205,2
1996,May,Africa,Africa,1104,198,494,394,18
1996,May,Asia Unclassified,Asia,3823,908,1619,1101,195
1996,May,Australia,Oceania,7285,2226,2032,758,2269
1996,May,Austria,Europe,811,350,354,107,0
1996,May,Belgium,Europe,697,257,380,60,0
1996,May,Brazil,South America,4114,3585,275,204,50
1996,May,Canada,North America,7400,4457,1885,1058,0
1996,May,China,Asia,20713,2181,5924,9670,2938
1996,May,Denmark,Europe,778,271,444,63,0
1996,May,Europe Unclassified,Europe,2177,710,817,624,26
1996,May,Finland,Europe,670,220,401,49,0
1996,May,France,Europe,4767,1572,2447,748,0
1996,May,Germany,Europe,6909,2402,3633,874,0
1996,May,Hong Kong,Asia,11626,8475,2416,253,482
1996,May,India,Asia,2639,653,1412,458,116
1996,May,Indonesia,Asia,3429,1007,1037,915,470
1996,May,Ireland,Europe,681,236,276,169,0
1996,May,Israel,Asia,585,225,315,45,0
1996,May,Italy,Europe,2411,744,1362,305,0
1996,May,Korea,Asia,81678,45169,29690,6278,541
1996,May,Malaysia,Asia,4958,3083,1743,131,1
1996,May,Mexico,North America,655,364,190,101,0
1996,May,Netherland,Europe,1665,577,974,114,0
1996,May,New Zealand,Oceania,2197,1030,956,211,0
1996,May,North America Unclassified,North America,485,199,123,,
1996,May,Norway,Europe,486,150,309,27,0
1996,May,Oceania Unclassified,Oceania,211,72,43,82,14
1996,May,Philippines,Asia,6768,2037,1336,2354,1041
1996,May,Russia,Europe,2104,648,637,618,201
1996,May,Singapore,Asia,5064,2492,2012,552,8
1996,May,South America Unclassified,South America,1518,950,295,259,14
1996,May,Spain,Europe,1031,363,558,110,0
1996,May,Sweden,Europe,1348,363,893,92,0
1996,May,Swiss,Europe,1429,550,801,78,0
1996,May,Taiwan,Asia,62251,54288,6101,1861,1
1996,May,Thailand,Asia,5872,2405,2248,727,492
1996,May,U.S.A.,North America,51872,25643,21258,4969,2
1996,May,United Kingdom,Europe,11723,4384,6155,1181,3
1996,November,Africa,Africa,1211,356,544,295,16
1996,November,Asia Unclassified,Asia,3434,932,1613,768,121
1996,November,Australia,Oceania,7473,2623,2346,692,1812
1996,November,Austria,Europe,1101,496,412,193,0
1996,November,Belgium,Europe,954,312,568,74,0
1996,November,Brazil,South America,2096,1459,404,169,64
1996,November,Canada,North America,6839,3811,2233,794,1
1996,November,China,Asia,21915,3234,6928,7990,3763
1996,November,Denmark,Europe,1023,347,625,51,0
1996,November,Europe Unclassified,Europe,2613,975,931,652,55
1996,November,Finland,Europe,932,375,519,38,0
1996,November,France,Europe,5450,1752,3260,438,0
1996,November,Germany,Europe,7852,2463,4620,769,0
1996,November,Hong Kong,Asia,10270,7059,2678,225,308
1996,November,India,Asia,2563,502,1398,497,166
1996,November,Indonesia,Asia,3255,948,1287,797,223
1996,November,Ireland,Europe,724,277,355,92,0
1996,November,Israel,Asia,649,254,343,52,0
1996,November,Italy,Europe,3845,1720,1868,257,0
1996,November,Korea,Asia,78372,42493,30292,4900,687
1996,November,Malaysia,Asia,6558,4694,1802,62,0
1996,November,Mexico,North America,655,373,222,60,0
1996,November,Netherland,Europe,2059,628,1329,102,0
1996,November,New Zealand,Oceania,1974,877,862,235,0
1996,November,North America Unclassified,North America,333,164,96,,
1996,November,Norway,Europe,881,243,521,117,0
1996,November,Oceania Unclassified,Oceania,136,57,32,41,6
1996,November,Philippines,Asia,5964,1242,1180,2880,662
1996,November,Russia,Europe,2676,796,761,731,388
1996,November,Singapore,Asia,4783,2288,2205,289,1
1996,November,South America Unclassified,South America,1765,1104,416,227,18
1996,November,Spain,Europe,897,401,438,58,0
1996,November,Sweden,Europe,1970,591,1290,89,0
1996,November,Swiss,Europe,1665,541,1046,78,0
1996,November,Taiwan,Asia,54077,46691,6087,1299,0
1996,November,Thailand,Asia,5097,1746,2475,494,382
1996,November,U.S.A.,North America,49792,22210,23325,4254,3
1996,November,United Kingdom,Europe,12501,4278,7148,1075,0
1996,October,Africa,Africa,1488,328,608,539,13
1996,October,Asia Unclassified,Asia,4386,1159,1890,1183,154
1996,October,Australia,Oceania,7602,2956,2177,971,1498
1996,October,Austria,Europe,1126,389,412,325,0
1996,October,Belgium,Europe,1140,443,597,100,0
1996,October,Brazil,South America,2951,2244,453,198,56
1996,October,Canada,North America,8319,5007,2376,935,1
1996,October,China,Asia,23560,3391,6597,10047,3525
1996,October,Denmark,Europe,1060,414,582,64,0
1996,October,Europe Unclassified,Europe,3057,1156,1046,830,25
1996,October,Finland,Europe,857,314,490,53,0
1996,October,France,Europe,6191,2377,3196,618,0
1996,October,Germany,Europe,9034,3775,4532,727,0
1996,October,Hong Kong,Asia,11221,7798,2623,397,403
1996,October,India,Asia,2638,591,1469,502,76
1996,October,Indonesia,Asia,4313,1424,1609,1045,235
1996,October,Ireland,Europe,693,271,290,132,0
1996,October,Israel,Asia,713,356,309,48,0
1996,October,Italy,Europe,3227,1245,1675,307,0
1996,October,Korea,Asia,86693,46401,32726,7044,522
1996,October,Malaysia,Asia,4027,2037,1881,108,1
1996,October,Mexico,North America,862,530,224,107,1
1996,October,Netherland,Europe,2157,769,1259,129,0
1996,October,New Zealand,Oceania,1951,817,954,180,0
1996,October,North America Unclassified,North America,471,240,121,,
1996,October,Norway,Europe,786,217,519,50,0
1996,October,Oceania Unclassified,Oceania,305,68,144,80,13
1996,October,Philippines,Asia,6422,1496,1419,2995,512
1996,October,Russia,Europe,3277,1297,761,1022,197
1996,October,Singapore,Asia,4448,1538,2470,429,11
1996,October,South America Unclassified,South America,1677,983,437,230,27
1996,October,Spain,Europe,1326,709,520,97,0
1996,October,Sweden,Europe,1992,663,1141,188,0
1996,October,Swiss,Europe,1979,835,1033,111,0
1996,October,Taiwan,Asia,72306,64067,6541,1698,0
1996,October,Thailand,Asia,8664,4546,2778,795,545
1996,October,U.S.A.,North America,60331,31443,24639,4248,1
1996,October,United Kingdom,Europe,13362,4900,7027,1435,0
1996,September,Africa,Africa,1430,274,495,645,16
1996,September,Asia Unclassified,Asia,4632,1258,1747,1455,172
1996,September,Australia,Oceania,9969,4628,2223,971,2147
1996,September,Austria,Europe,785,288,288,209,0
1996,September,Belgium,Europe,734,246,413,75,0
1996,September,Brazil,South America,4386,3808,301,235,42
1996,September,Canada,North America,6464,3342,1778,1344,0
1996,September,China,Asia,23480,3111,5837,11189,3343
1996,September,Denmark,Europe,839,281,475,83,0
1996,September,Europe Unclassified,Europe,2162,772,754,606,30
1996,September,Finland,Europe,696,186,342,168,0
1996,September,France,Europe,4718,1591,2274,853,0
1996,September,Germany,Europe,6411,2433,3301,677,0
1996,September,Hong Kong,Asia,10712,7336,2541,447,388
1996,September,India,Asia,2836,522,1610,570,134
1996,September,Indonesia,Asia,3600,1127,1091,1006,376
1996,September,Ireland,Europe,658,270,236,151,1
1996,September,Israel,Asia,640,352,225,63,0
1996,September,Italy,Europe,2619,752,1259,608,0
1996,September,Korea,Asia,73200,39335,25569,7753,543
1996,September,Malaysia,Asia,3261,1482,1608,169,2
1996,September,Mexico,North America,749,431,194,124,0
1996,September,Netherland,Europe,1973,629,1078,266,0
1996,September,New Zealand,Oceania,2532,1376,928,228,0
1996,September,North America Unclassified,North America,475,210,131,,
1996,September,Norway,Europe,564,216,302,46,0
1996,September,Oceania Unclassified,Oceania,266,63,84,95,24
1996,September,Philippines,Asia,6124,1485,1294,2966,379
1996,September,Russia,Europe,2213,1035,453,574,151
1996,September,Singapore,Asia,3977,1230,1947,796,4
1996,September,South America Unclassified,South America,1541,942,258,309,32
1996,September,Spain,Europe,1293,524,631,138,0
1996,September,Sweden,Europe,1435,383,925,127,0
1996,September,Swiss,Europe,1514,588,814,112,0
1996,September,Taiwan,Asia,57546,48245,5629,3672,0
1996,September,Thailand,Asia,5171,1514,2437,962,258
1996,September,U.S.A.,North America,48859,21625,21740,5489,5
1996,September,United Kingdom,Europe,11229,3725,5824,1679,1
1997,April,Africa,Africa,1046,292,426,307,21
1997,April,Asia Unclassified,Asia,3997,1059,1460,1186,292
1997,April,Australia,Oceania,7435,2969,2014,1080,1372
1997,April,Austria,Europe,824,359,382,83,0
1997,April,Belgium,Europe,769,251,444,74,0
1997,April,Brazil,South America,3063,2329,315,343,76
1997,April,Canada,North America,7829,4610,2006,1213,0
1997,April,China,Asia,21289,2675,5792,10510,2312
1997,April,Denmark,Europe,888,356,472,60,0
1997,April,Europe Unclassified,Europe,2030,819,622,548,41
1997,April,Finland,Europe,910,331,520,59,0
1997,April,France,Europe,5860,2724,2510,626,0
1997,April,Germany,Europe,7569,3077,3731,761,0
1997,April,Hong Kong,Asia,16588,13493,2313,452,330
1997,April,India,Asia,2407,571,1283,475,78
1997,April,Indonesia,Asia,3769,1148,941,1134,546
1997,April,Ireland,Europe,962,479,344,139,0
1997,April,Israel,Asia,609,305,253,51,0
1997,April,Italy,Europe,2713,1003,1420,290,0
1997,April,Korea,Asia,82028,46012,27809,7552,655
1997,April,Malaysia,Asia,6220,4375,1705,140,0
1997,April,Mexico,North America,736,457,186,93,0
1997,April,Netherland,Europe,1937,703,1122,112,0
1997,April,New Zealand,Oceania,2660,1472,841,347,0
1997,April,North America Unclassified,North America,404,148,143,112,1
1997,April,Norway,Europe,769,255,452,62,0
1997,April,Oceania Unclassified,Oceania,204,57,52,82,13
1997,April,Philippines,Asia,6803,1856,1098,3482,367
1997,April,Russia,Europe,2297,1079,535,502,181
1997,April,Singapore,Asia,5263,2500,2015,729,19
1997,April,South America Unclassified,South America,1720,1005,379,315,21
1997,April,Spain,Europe,954,421,403,130,0
1997,April,Sweden,Europe,1946,645,1118,183,0
1997,April,Swiss,Europe,1665,716,839,110,0
1997,April,Taiwan,Asia,75593,67127,5734,2732,0
1997,April,Thailand,Asia,11096,7577,2119,803,597
1997,April,U.S.A.,North America,56821,26881,23773,6160,7
1997,April,United Kingdom,Europe,14864,7035,6206,1623,0
1997,August,Africa,Africa,1370,349,422,573,26
1997,August,Asia Unclassified,Asia,4775,1357,1347,1808,263
1997,August,Australia,Oceania,7669,2994,1669,1443,1563
1997,August,Austria,Europe,659,358,184,117,0
1997,August,Belgium,Europe,701,362,230,109,0
1997,August,Brazil,South America,2511,1805,251,391,64
1997,August,Canada,North America,8760,5390,1348,2022,0
1997,August,China,Asia,23896,3350,4572,13044,2930
1997,August,Denmark,Europe,647,223,279,145,0
1997,August,Europe Unclassified,Europe,2806,1552,461,700,93
1997,August,Finland,Europe,578,227,248,103,0
1997,August,France,Europe,5038,2637,1421,980,0
1997,August,Germany,Europe,6109,2755,2292,1062,0
1997,August,Hong Kong,Asia,34439,30992,1938,508,1001
1997,August,India,Asia,2971,733,1339,721,178
1997,August,Indonesia,Asia,3721,1300,837,1124,460
1997,August,Ireland,Europe,823,368,245,210,0
1997,August,Israel,Asia,815,419,315,81,0
1997,August,Italy,Europe,2590,1484,799,307,0
1997,August,Korea,Asia,112517,76104,21979,10521,3913
1997,August,Malaysia,Asia,3238,1485,1541,211,1
1997,August,Mexico,North America,825,536,148,141,0
1997,August,Netherland,Europe,1584,668,688,228,0
1997,August,New Zealand,Oceania,2229,1165,641,423,0
1997,August,North America Unclassified,North America,482,190,108,175,9
1997,August,Norway,Europe,540,203,220,117,0
1997,August,Oceania Unclassified,Oceania,226,80,44,86,16
1997,August,Philippines,Asia,7007,1488,1000,4107,412
1997,August,Russia,Europe,3342,1884,544,690,224
1997,August,Singapore,Asia,3637,1246,1611,772,8
1997,August,South America Unclassified,South America,1792,1103,290,381,18
1997,August,Spain,Europe,999,747,142,110,0
1997,August,Sweden,Europe,1351,360,693,298,0
1997,August,Swiss,Europe,1364,509,660,195,0
1997,August,Taiwan,Asia,76067,67890,4648,3529,0
1997,August,Thailand,Asia,3529,1140,1146,940,303
1997,August,U.S.A.,North America,48624,21931,17580,9113,0
1997,August,United Kingdom,Europe,14300,7713,4221,2366,0
1997,December,Africa,Africa,999,311,357,310,21
1997,December,Asia Unclassified,Asia,3283,1109,1165,750,259
1997,December,Australia,Oceania,10287,5130,1303,830,3024
1997,December,Austria,Europe,640,250,211,179,0
